"Model Category","Model","Size","Paper","Print Colour","Quantity","Lamination","Colour Protective Layer","WM Price","EM Price"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","400","Gloss Waterbase Varnish (Front)","N/A","614.10","824.10"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","400","Gloss Waterbase Varnish (Both)","N/A","672.35","882.35"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","450","Gloss Lamination (Front)","N/A","688.80","928.80"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","450","Gloss Lamination (Both)","N/A","803.40","1063.40"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","450","Matte Lamination (Front)","N/A","688.80","928.80"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","450","Matte Lamination (Front) + Spot UV (Front)","N/A","983.35","1223.35"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","450","Matte Lamination (Both)","N/A","803.40","1063.40"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","450","Matte Lamination (Both) + Spot UV (Front)","N/A","1097.95","1357.95"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","450","Gloss Waterbase Varnish (Front)","N/A","629.30","859.30"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","450","Gloss Waterbase Varnish (Both)","N/A","684.50","914.50"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","500","Gloss Lamination (Front)","N/A","698.90","968.90"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","500","Gloss Lamination (Both)","N/A","811.40","1101.40"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","500","Matte Lamination (Front)","N/A","698.90","968.90"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","500","Matte Lamination (Front) + Spot UV (Front)","N/A","983.25","1253.25"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","500","Matte Lamination (Both)","N/A","811.40","1101.40"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","500","Matte Lamination (Both) + Spot UV (Front)","N/A","1095.70","1385.70"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","500","Gloss Waterbase Varnish (Front)","N/A","638.40","898.40"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","500","Gloss Waterbase Varnish (Both)","N/A","690.40","950.40"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","1000","Gloss Lamination (Front)","N/A","1212.95","1752.95"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","1000","Gloss Lamination (Both)","N/A","1376.60","1946.60"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","1000","Matte Lamination (Front)","N/A","1212.95","1752.95"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","1000","Matte Lamination (Front) + Spot UV (Front)","N/A","1583.95","2123.95"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","1000","Matte Lamination (Both)","N/A","1376.60","1946.60"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","1000","Matte Lamination (Both) + Spot UV (Front)","N/A","1747.55","2317.55"
"Presentation Folder","FPF 001","350mm x 510mm","Gloss Art Card 250gsm (2 side coated)","4C (Front)","1000","Gloss Waterbase Varnish (Front)","N/A","1105.30","1615.30"
